iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-42.64,-45.69,-45.69
2,-42.64,-95.5,-45.69
3,-42.64,-53.45,-82.29
4,-42.64,-53.45,-49.25
5,-42.64,-49.25,-58.5
6,-42.64,-42.64,-40.0
7,-42.64,-42.64,-53.45
8,-82.29,-114.0,-53.45
9,-49.25,-40.0,-72.38
10,-40.0,-53.45,-40.0
11,-58.5,-53.45,-40.0
12,-53.45,-49.25,-40.0
13,-82.29,-72.38,-40.0
14,-40.0,-40.0,-40.0
15,-82.29,-40.0,-40.0
16,-82.29,-40.0,-40.0
17,-72.38,-40.0,-40.0
18,-49.25,-40.0,-40.0
19,-40.0,-40.0,-40.0
20,-40.0,-40.0,-40.0
21,-40.0,-40.0,-40.0
22,-53.45,-40.0,-40.0
23,-53.45,-40.0,-40.0
24,-40.0,-40.0,-40.0
25,-40.0,-40.0,-40.0
26,-40.0,-40.0,-40.0
27,-40.0,-40.0,-40.0
28,-53.45,-40.0,-40.0
29,-53.45,-40.0,-40.0
30,-72.38,-40.0,-40.0
31,-40.0,-40.0,-40.0
32,-40.0,-40.0,-40.0
33,-40.0,-40.0,-40.0
34,-40.0,-40.0,-40.0
35,-40.0,-40.0,-40.0
36,-40.0,-40.0,-40.0
37,-53.45,-40.0,-40.0
38,-72.38,-40.0,-40.0
39,-53.45,-40.0,-40.0
40,-53.45,-40.0,-40.0
41,-40.0,-40.0,-40.0
42,-40.0,-40.0,-40.0
43,-40.0,-40.0,-40.0
44,-53.45,-40.0,-40.0
45,-40.0,-40.0,-40.0
46,-40.0,-40.0,-40.0
47,-40.0,-40.0,-40.0
48,-40.0,-40.0,-40.0
49,-40.0,-40.0,-40.0
50,-40.0,-40.0,-40.0
51,-53.45,-40.0,-40.0
52,-72.38,-40.0,-40.0
53,-53.45,-40.0,-40.0
54,-53.45,-40.0,-40.0
55,-72.38,-40.0,-40.0
56,-40.0,-40.0,-40.0
57,-53.45,-40.0,-40.0
58,-72.38,-40.0,-40.0
59,-53.45,-40.0,-40.0
60,-72.38,-40.0,-40.0
61,-53.45,-40.0,-40.0
62,-72.38,-40.0,-40.0
63,-40.0,-40.0,-40.0
64,-40.0,-40.0,-40.0
65,-53.45,-40.0,-40.0
66,-53.45,-40.0,-40.0
67,-40.0,-40.0,-40.0
68,-40.0,-40.0,-40.0
69,-40.0,-40.0,-40.0
70,-40.0,-40.0,-40.0
71,-53.45,-40.0,-40.0
72,-40.0,-40.0,-40.0
73,-40.0,-40.0,-40.0
74,-40.0,-40.0,-40.0
75,-40.0,-40.0,-40.0
76,-40.0,-40.0,-40.0
77,-40.0,-40.0,-40.0
78,-40.0,-40.0,-40.0
79,-53.45,-40.0,-40.0
80,-53.45,-40.0,-40.0
81,-40.0,-40.0,-40.0
82,-40.0,-40.0,-40.0
83,-40.0,-40.0,-40.0
84,-40.0,-40.0,-40.0
85,-53.45,-40.0,-40.0
86,-40.0,-40.0,-40.0
87,-40.0,-40.0,-40.0
88,-40.0,-40.0,-40.0
89,-40.0,-40.0,-40.0
90,-40.0,-40.0,-40.0
91,-40.0,-40.0,-40.0
92,-53.45,-40.0,-40.0
93,-53.45,-40.0,-40.0
94,-53.45,-40.0,-40.0
95,-53.45,-40.0,-40.0
96,-72.38,-40.0,-40.0
97,-53.45,-40.0,-40.0
98,-49.25,-40.0,-40.0
99,-40.0,-40.0,-40.0
100,-40.0,-40.0,-40.0
101,-40.0,-40.0,-40.0
102,-53.45,-40.0,-40.0
103,-53.45,-40.0,-40.0
104,-53.45,-40.0,-40.0
105,-53.45,-40.0,-40.0
106,-40.0,-40.0,-40.0
107,-40.0,-40.0,-40.0
108,-40.0,-40.0,-40.0
109,-40.0,-40.0,-40.0
110,-40.0,-40.0,-40.0
111,-40.0,-40.0,-40.0
112,-40.0,-40.0,-40.0
113,-40.0,-40.0,-40.0
114,-40.0,-40.0,-40.0
115,-40.0,-40.0,-40.0
116,-53.45,-40.0,-40.0
117,-40.0,-40.0,-40.0
118,-40.0,-40.0,-40.0
119,-40.0,-40.0,-40.0
120,-40.0,-40.0,-40.0
121,-40.0,-40.0,-40.0
122,-40.0,-40.0,-40.0
123,-40.0,-40.0,-40.0
124,-40.0,-40.0,-40.0
125,-40.0,-40.0,-40.0
126,-40.0,-40.0,-40.0
127,-40.0,-40.0,-40.0
128,-40.0,-40.0,-40.0
129,-53.45,-40.0,-40.0
130,-40.0,-40.0,-40.0
131,-40.0,-40.0,-40.0
132,-40.0,-40.0,-40.0
133,-40.0,-40.0,-40.0
134,-40.0,-40.0,-40.0
135,-40.0,-40.0,-40.0
136,-53.45,-40.0,-40.0
137,-53.45,-40.0,-40.0
138,-53.45,-40.0,-40.0
139,-53.45,-40.0,-40.0
140,-53.45,-40.0,-40.0
141,-72.38,-40.0,-40.0
142,-40.0,-40.0,-40.0
143,-53.45,-40.0,-40.0
144,-40.0,-40.0,-40.0
145,-40.0,-40.0,-40.0
146,-40.0,-40.0,-40.0
147,-40.0,-40.0,-40.0
148,-40.0,-40.0,-40.0
149,-40.0,-40.0,-40.0
150,-40.0,-40.0,-40.0
